mode,pipeline,total_questions,support_rate,unsupported_rate,partial_support_rate,conflict_rate,no_evidence_rate,required_claim_coverage,forbidden_claim_rate,expected_doc_hit_rate,avg_fact_plan_claim_count,fact_plan_evidence_coverage,conflict_detection_rate,wrong_conflict_resolution_rate,avg_latency_sec,avg_llm_calls,avg_retrieval_calls,avg_answer_length
main,baseline,35,0.0,0.0,0.0,0.0,0.0,0.8238095238095238,0.0,0.9428571428571428,0,0.0,0.0,0.0,16.706391110714286,1,1,598.0571428571428
main,advanced,35,0.0,0.0,0.0,0.0,0.0,0.8380952380952381,0.0,1.0,0,0.0,0.0,0.0,16.892562294,1,2,625.7428571428571
main,posthoc,35,0.9941860465116279,0.0,0.005813953488372093,0.0,0.0,0.8285714285714285,0.0,1.0,0,0.0,0.0,0.0,113.86783486682853,6.914285714285715,2,600.7714285714286
main,final_verified,35,0.963855421686747,0.018072289156626505,0.018072289156626505,0.0,0.0,0.7619047619047619,0.0,1.0,3.7142857142857144,1.0,0.0,0.0,142.66556042274283,8.114285714285714,2,467.6857142857143
conflict,baseline,10,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0,0.0,0.0,0.0,24.2987829625,1,1,460.7
conflict,advanced,10,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.0,0,0.0,0.0,0.0,22.840294933299997,1,2,427.9
conflict,posthoc,10,0.9777777777777777,0.0,0.022222222222222223,0.0,0.0,0.85,0.0,1.0,0,0.0,0.0,0.0,237.8129903369999,6.5,2,477.1
conflict,final_verified,10,0.7843137254901961,0.17647058823529413,0.0392156862745098,0.0,0.0,0.9,0.0,1.0,3.5,1.0,0.3,0.0,213.9560848406,9.2,2,452.3
